Id_Itinerario,Id_Segmento,Data_It,Targa,Strada,Lat,Lng,VelocitaLimite,VelocitaRilevata,Km
2,5,2016/03/18,EV401BL,Corso%20Filippo%20Turati,45.0502667,7.6662939,50,63,0.09
2,6,2016/03/18,EV401BL,Via%20Jonio,45.0503898,7.6677264,50,68,0.12
2,7,2016/03/18,EV401BL,Via%20Chisone,45.0504449,7.6677784,50,79,0.01
3,0,2016/03/14,EV401BL,Via%20Lazzaro%20Spallanzani%2C%207%2C%2010134%20Torino%2C%20Italy,45.0483324,7.6625954,50,32,0
3,1,2016/03/14,EV401BL,Corso%20Filippo%20Turati,45.0479486,7.6632283,90,105,0.07
3,2,2016/03/14,EV401BL,Corso%20Filippo%20Turati,45.0469246,7.6620815,130,144,0.14
3,3,2016/03/14,EV401BL,Corso%20Bramante,45.0426275,7.6710218,90,129,0.88
3,4,2016/03/14,EV401BL,Corso%20Bramante,45.042462,7.6721034,50,79,0.09
3,5,2016/03/14,EV401BL,Via%20Madama%20Cristina,45.0453143,7.6741713,50,76,0.36
4,0,2016/03/18,EV401BL,Corso%20Germano%20Sommeiller%2C%2012%2C%2010125%20Torino%2C%20Italy,45.054309,7.6739736,50,15,0
4,1,2016/03/18,EV401BL,Via%20Giovanni%20Ribet,45.0540223,7.6751612,50,66,0.1
4,2,2016/03/18,EV401BL,Via%20Nizza,45.0464403,7.6727005,50,79,0.88
4,3,2016/03/18,EV401BL,Via%20Ilarione%20Petitti,45.0460656,7.6752958,50,71,0.21
4,4,2016/03/18,EV401BL,Via%20Giotto,45.0456946,7.6751519,50,87,0.04
0,0,2014/03/24,EF764SF,Via%20S.%20Bernadette%2C%2023%2C%2000167%20Roma%2C%20Italy,41.9022659,12.4275406,50,19,0
0,1,2014/03/24,EF764SF,Via%20Nostra%20Signora%20di%20Lourdes,41.9027529,12.4295836,50,89,0.19
0,2,2014/03/24,EF764SF,Via%20Nostra%20Signora%20di%20Lourdes,41.9036814,12.4254794,90,102,0.4
0,3,2014/03/24,EF764SF,Via%20Domenico%20Tardini,41.9048871,12.4253151,50,63,0.14
0,4,2014/03/24,EF764SF,Circonvallazione%20Cornelia,41.9023589,12.4254097,90,123,0.33
0,5,2014/03/24,EF764SF,Via%20di%20Boccea,41.9031303,12.4219158,90,101,0.33
0,6,2014/03/24,EF764SF,Via%20Gregorio%20XI,41.8936605,12.4112169,90,129,1.41
0,7,2014/03/24,EF764SF,Via%20Luca%20Passi,41.8963178,12.409906,90,129,0.45
0,8,2014/03/24,EF764SF,Via%20Raffaele%20Conforti,41.8966032,12.4096823,130,140,0.04
0,9,2014/03/24,EF764SF,Via%20di%20Val%20Cannuta,41.899416,12.4137674,90,121,0.46
0,10,2014/03/24,EF764SF,Via%20della%20Divina%20Provvidenza,41.9007399,12.4101541,50,80,0.34
1,0,2014/03/27,EF764SF,Via%20Luca%20Passi%2C%206%2C%2000166%20Roma%2C%20Italy,41.8965675,12.4103114,50,22,0
1,1,2014/03/27,EF764SF,Via%20Vezio%20Crisafulli,41.8936605,12.4112169,50,75,0.41
1,2,2014/03/27,EF764SF,Via%20Gregorio%20XI,41.8931726,12.4102899,50,87,0.09
1,3,2014/03/27,EF764SF,,41.8935098,12.4112821,50,79,0.1
1,4,2014/03/27,EF764SF,Via%20Michele%20Pironti,41.8925082,12.4139672,90,104,0.26
1,5,2014/03/27,EF764SF,Via%20Nicola%20Coviello,41.8909899,12.4127697,130,156,0.2
1,6,2014/03/27,EF764SF,Via%20Nicola%20Coviello,41.8909544,12.4129374,90,123,0.01
1,7,2014/03/27,EF764SF,Strada%20Statale%201%20Variante%20Aurelia%20di%20La%20Spezia,41.89725,12.4214166,50,75,1.02
2,0,2014/03/22,EF764SF,Via%20Aurelia%2C%20619%2C%2000165%20Roma%2C%20Italy,41.8951338,12.4175129,50,41,0
2,1,2014/03/22,EF764SF,Via%20dei%20Maffei,41.8909544,12.4129374,50,61,0.61
2,2,2014/03/22,EF764SF,Via%20Nicola%20Coviello,41.8930597,12.4117643,50,74,0.33
2,3,2014/03/22,EF764SF,Via%20Michele%20Pironti,41.8935098,12.4112821,50,82,0.06
2,4,2014/03/22,EF764SF,Via%20Gregorio%20XI,41.9031303,12.4219158,50,82,1.42
2,5,2014/03/22,EF764SF,Via%20di%20Boccea,41.903573,12.4175476,50,63,0.37
3,0,2014/03/27,EF764SF,Via%20Aurelia%2C%20Roma%2C%20Italy,41.8921801,12.4137981,50,10,0
3,1,2014/03/27,EF764SF,Via%20Nicola%20Coviello,41.8909544,12.4129374,90,121,0.15
3,2,2014/03/27,EF764SF,Via%20Nicola%20Coviello,41.8930597,12.4117643,50,69,0.33
3,3,2014/03/27,EF764SF,Via%20Michele%20Pironti,41.8935098,12.4112821,90,113,0.06
3,4,2014/03/27,EF764SF,Via%20Gregorio%20XI,41.9031303,12.4219158,90,103,1.42
3,5,2014/03/27,EF764SF,Via%20di%20Boccea,41.9015045,12.4266889,50,70,0.44
3,6,2014/03/27,EF764SF,Via%20di%20Boccea,41.9016242,12.4269332,50,77,0.02
3,7,2014/03/27,EF764SF,Via%20Domenico%20Tardini,41.9019295,12.4266741,50,66,0.04
4,0,2014/03/24,EF764SF,Via%20Martino%20V%2C%2025%2C%2000167%20Roma%2C%20Italy,41.9054835,12.4216371,50,42,0
4,1,2014/03/24,EF764SF,Via%20del%20Forte%20Boccea,41.9057317,12.4211672,50,67,0.05
4,2,2014/03/24,EF764SF,Via%20del%20Forte%20Boccea,41.9075009,12.4254018,50,63,0.44
4,3,2014/03/24,EF764SF,Via%20della%20Pineta%20Sacchetti,41.9056298,12.4253252,90,114,0.21
4,4,2014/03/24,EF764SF,Circonvallazione%20Cornelia,41.8985929,12.4274542,130,164,0.83
4,5,2014/03/24,EF764SF,Strada%20Statale%201%20Variante%20Aurelia%20di%20La%20Spezia,41.8920691,12.4137179,90,112,1.4
4,6,2014/03/24,EF764SF,Via%20Nicola%20Coviello,41.8909899,12.4127697,90,121,0.15
4,7,2014/03/24,EF764SF,Via%20Nicola%20Coviello,41.8909544,12.4129374,50,80,0.01
4,8,2014/03/24,EF764SF,Strada%20Statale%201%20Variante%20Aurelia%20di%20La%20Spezia,41.8917408,12.4136336,50,89,0.12
5,0,2014/03/23,EF764SF,Via%20Francesco%20Tamagno%2C%2000168%20Roma%2C%20Italy,41.9081631,12.4146143,50,9,0
5,1,2014/03/23,EF764SF,Via%20dei%20Monti%20di%20Primavalle,41.9070437,12.4139183,90,112,0.28
5,2,2014/03/23,EF764SF,Via%20dei%20Monti%20di%20Primavalle,41.9064733,12.4147121,50,67,0.09
5,3,2014/03/23,EF764SF,,41.9036193,12.4185299,90,125,0.46
5,4,2014/03/23,EF764SF,Via%20di%20Boccea,41.9031303,12.4219158,90,101,0.29
5,5,2014/03/23,EF764SF,Via%20Gregorio%20XI,41.8936605,12.4112169,50,89,1.41
5,6,2014/03/23,EF764SF,Via%20Luca%20Passi,41.8961713,12.4110984,50,85,0.32
6,0,2014/04/01,EF764SF,Via%20di%20Boccea%2C%20285%2C%2000167%20Roma%2C%20Italy,41.903573,12.4175476,50,10,0
6,1,2014/04/01,EF764SF,Largo%20Gregorio%20XIII,41.9021556,12.4251913,90,101,0.66
6,2,2014/04/01,EF764SF,Circonvallazione%20Cornelia,41.8985929,12.4274542,90,129,0.45
6,3,2014/04/01,EF764SF,Strada%20Statale%201%20Variante%20Aurelia%20di%20La%20Spezia,41.8952533,12.4176867,50,83,0.92
6,4,2014/04/01,EF764SF,Via%20Nicola%20Lombardi,41.8935501,12.4193239,50,73,0.23
6,5,2014/04/01,EF764SF,,41.8933835,12.4193329,50,72,0.02
2,0,2010/10/27,CL202PE,Via%20Alessio%20Mazzocchi%2C%2034%2C%2080141%20Napoli%2C%20Italy,40.8630425,14.268313,50,9,0
2,1,2010/10/27,CL202PE,Via%20S.%20Attanasio,40.863061,14.2689756,90,120,0.06
2,2,2010/10/27,CL202PE,Via%20S.%20Attanasio,40.8614123,14.2695401,50,63,0.19
2,3,2010/10/27,CL202PE,Via%20Nicola%20Rocco,40.8616296,14.2702379,50,77,0.06
2,4,2010/10/27,CL202PE,Via%20Arenaccia,40.857,14.2709599,90,112,0.52
2,5,2010/10/27,CL202PE,Calata%20Ponte%20di%20Casanova,40.8578862,14.2727956,50,77,0.18
2,6,2010/10/27,CL202PE,Piazza%20Nazionale,40.8577512,14.2731893,50,75,0.04
3,0,2010/10/31,CL202PE,Via%20Federico%20Persico%2C%2020%2C%2080141%20Napoli%2C%20Italy,40.8609688,14.2714196,50,33,0
3,1,2010/10/31,CL202PE,Via%20Ferrante%20Loffredo,40.8611276,14.2731124,50,69,0.14
3,2,2010/10/31,CL202PE,Via%20Generale%20Francesco%20Pignatelli,40.8588585,14.2735512,50,73,0.26
3,3,2010/10/31,CL202PE,Piazza%20Nazionale,40.8586243,14.2744658,50,89,0.39
3,4,2010/10/31,CL202PE,Via%20Nuova%20Poggioreale,40.8655487,14.2888708,50,89,1.44
4,0,2010/10/22,CL202PE,Via%20Giovanni%20Porzio%2C%204%2C%2080143%20Napoli%2C%20Italy,40.8578103,14.2769439,50,43,0
4,1,2010/10/22,CL202PE,Via%20Giovanni%20Porzio,40.8581472,14.2768869,90,104,0.04
4,2,2010/10/22,CL202PE,Via%20Otranto,40.8579954,14.2754744,130,161,0.12
4,3,2010/10/22,CL202PE,Via%20Foggia,40.8590357,14.2752926,90,118,0.12
4,4,2010/10/22,CL202PE,Via%20Nuova%20Poggioreale,40.8590405,14.2753025,50,89,0.0
5,0,2010/10/28,CL202PE,Via%20Alfonso%20D%27avalos%2C%2025%2C%2080141%20Napoli%2C%20Italy,40.8603749,14.2717247,50,46,0
5,1,2010/10/28,CL202PE,Via%20Trivice%20detta%20del%20Trivio,40.8603855,14.271837,50,63,0.01
5,2,2010/10/28,CL202PE,Via%20Trivice%20detta%20del%20Trivio,40.8598122,14.2712273,50,76,0.08
5,3,2010/10/28,CL202PE,Piazza%20Luigi%20Poderico,40.8599333,14.2706224,50,78,0.06
5,4,2010/10/28,CL202PE,Via%20Arenaccia,40.8676744,14.268499,50,79,0.88
5,5,2010/10/28,CL202PE,Via%20Domenico%20Forges%20Davanzati,40.8680613,14.269841,50,67,0.12
5,6,2010/10/28,CL202PE,Via%20Generale%20D%27Ambrosio,40.8683016,14.2697366,50,74,0.03
6,0,2010/10/31,CL202PE,Piazza%20Nazionale%2C%2087%2C%2080143%20Napoli%2C%20Italy,40.8577512,14.2731893,50,0,0
6,1,2010/10/31,CL202PE,Via%20Nazionale,40.8586243,14.2744658,90,107,0.19
6,2,2010/10/31,CL202PE,Via%20Nuova%20Poggioreale,40.8595132,14.2762804,130,156,0.18
6,3,2010/10/31,CL202PE,Corso%20Malta,40.8632402,14.2761927,90,100,0.44
6,4,2010/10/31,CL202PE,Corso%20Malta,40.8654201,14.2757761,50,86,0.24
6,5,2010/10/31,CL202PE,Via%20Vicinale%20Cannola,40.8654213,14.2754853,90,125,0.02
6,6,2010/10/31,CL202PE,Corso%20Malta,40.8658322,14.2754786,90,104,0.05
6,7,2010/10/31,CL202PE,Via%20Ferdinando%20Manlio,40.8658647,14.2756491,50,69,0.01
6,8,2010/10/31,CL202PE,Via%20Fontanelle%20Al%20Trivio,40.8676495,14.2771219,50,86,0.23
6,9,2010/10/31,CL202PE,Traversa%20II%20Rione%20Trivio,40.8678837,14.2766819,50,83,0.04
7,0,2010/10/31,CL202PE,Via%20Giovanni%20Porzio%2C%20Napoli%2C%20Italy,40.8578905,14.2765838,50,39,0
7,1,2010/10/31,CL202PE,Via%20Cosenza,40.8568089,14.2763724,90,118,0.15
7,2,2010/10/31,CL202PE,Piazza%20Salerno,40.8565893,14.2767989,50,87,0.06
7,3,2010/10/31,CL202PE,Via%20Giovanni%20Porzio,40.8596761,14.2766117,50,85,0.36
7,4,2010/10/31,CL202PE,Via%20Nuova%20Poggioreale,40.8644034,14.2865147,50,89,0.98
8,0,2010/10/30,CL202PE,Via%20Alessio%20Mazzocchi%2C%2054%2C%2080141%20Napoli%2C%20Italy,40.8630199,14.2677221,50,46,0
8,1,2010/10/30,CL202PE,Piazza%20Carlo%20III,40.8632469,14.2667669,50,83,0.09
8,2,2010/10/30,CL202PE,Piazza%20Carlo%20III,40.8626593,14.2659871,50,86,0.1
8,3,2010/10/30,CL202PE,Piazza%20Carlo%20III,40.8623568,14.2663301,50,84,0.05
8,4,2010/10/30,CL202PE,Corso%20Giuseppe%20Garibaldi,40.8554022,14.2675576,90,109,0.78
8,5,2010/10/30,CL202PE,Via%20Casanova,40.8548031,14.2664157,130,146,0.12
8,6,2010/10/30,CL202PE,,40.8542698,14.2657348,130,169,0.08
8,7,2010/10/30,CL202PE,,40.8535748,14.2656967,90,111,0.11
8,8,2010/10/30,CL202PE,,40.8527711,14.2674369,130,156,0.17
8,9,2010/10/30,CL202PE,Piazza%20Giuseppe%20Garibaldi,40.8527093,14.2675113,90,128,0.01
8,10,2010/10/30,CL202PE,Corso%20Giuseppe%20Garibaldi,40.8517763,14.2681383,50,63,0.13
10,0,2010/10/26,CL202PE,Centro%20Direzionale%2C%2080143%20Napoli%2C%20Italy,40.858327,14.2812905,50,19,0
10,1,2010/10/26,CL202PE,Viale%20della%20Costituzione,40.8570472,14.2808309,90,107,0.17
10,2,2010/10/26,CL202PE,Viale%20della%20Costituzione,40.8567085,14.2773034,130,140,0.3
10,3,2010/10/26,CL202PE,Viale%20della%20Costituzione,40.856827,14.2770232,130,156,0.03
10,4,2010/10/26,CL202PE,,40.8597069,14.2764961,130,162,0.33
10,5,2010/10/26,CL202PE,,40.8632402,14.2761927,130,150,0.4
10,6,2010/10/26,CL202PE,Corso%20Malta,40.8654201,14.2757761,90,109,0.24
10,7,2010/10/26,CL202PE,Via%20Vicinale%20Cannola,40.8654213,14.2754853,50,85,0.02
10,8,2010/10/26,CL202PE,Corso%20Malta,40.8658322,14.2754786,50,69,0.05
10,9,2010/10/26,CL202PE,Via%20Ferdinando%20Manlio,40.8658647,14.2756491,50,72,0.01
10,10,2010/10/26,CL202PE,Via%20Fontanelle%20Al%20Trivio,40.86593,14.2756953,50,72,0.01
11,0,2010/10/25,CL202PE,80143%20Naples%2C%20Italy,40.8655487,14.2888708,50,45,0
11,1,2010/10/25,CL202PE,Via%20II%20Traversa%20Macello,40.8671652,14.2921946,90,109,0.33
11,2,2010/10/25,CL202PE,Via%20Michele%20Parise,40.8660114,14.2931208,90,100,0.15
11,3,2010/10/25,CL202PE,,40.8646656,14.2945862,50,72,0.19
11,4,2010/10/25,CL202PE,Via%20del%20Pascone,40.8603526,14.2940633,90,119,0.5
11,5,2010/10/25,CL202PE,Via%20Giuliano%20da%20Maiano,40.8601729,14.2949037,90,113,0.07
11,6,2010/10/25,CL202PE,Via%20Gaetano%20Bruno,40.8570551,14.2921445,50,74,0.48
11,7,2010/10/25,CL202PE,Via%20Vesuvio,40.8588881,14.2917403,50,62,0.21
11,8,2010/10/25,CL202PE,Piazza%20Salvatore%20Lobianco,40.8584411,14.2878822,90,118,0.33
11,9,2010/10/25,CL202PE,Via%20Emanuele%20Gianturco,40.8631398,14.2876456,50,70,0.53
11,10,2010/10/25,CL202PE,SS162dir,40.8638027,14.2758126,50,84,1.3
12,0,2010/10/29,CL202PE,Via%20Serafino%20Biscardi%2C%201%2C%2080143%20Napoli%2C%20Italy,40.8618292,14.2812074,50,12,0
12,1,2010/10/29,CL202PE,Via%20Costantino%20Grimaldi,40.8610045,14.2813196,90,125,0.09
12,2,2010/10/29,CL202PE,Via%20Costantino%20Grimaldi,40.8612957,14.284592,50,62,0.28
12,3,2010/10/29,CL202PE,Via%20Domenico%20Aulisio,40.8603672,14.2846788,50,72,0.1
13,0,2010/10/28,CL202PE,Via%20Federico%20Persico%2C%2020%2C%2080141%20Napoli%2C%20Italy,40.8609688,14.2714196,50,32,0
13,1,2010/10/28,CL202PE,Via%20Ferrante%20Loffredo,40.8611276,14.2731124,50,82,0.14
13,2,2010/10/28,CL202PE,Via%20Generale%20Francesco%20Pignatelli,40.8588585,14.2735512,50,72,0.26
13,3,2010/10/28,CL202PE,Piazza%20Nazionale,40.8577635,14.2737124,50,65,0.24
13,4,2010/10/28,CL202PE,Via%20Nazionale,40.8565748,14.2739214,50,88,0.13
14,0,2010/10/27,CL202PE,Via%20Nuova%20del%20Campo%2C%2050%2C%2080141%20Napoli%2C%20Italy,40.8683542,14.2827238,50,40,0
14,1,2010/10/27,CL202PE,Cupa%20Lautrec,40.8693653,14.2843393,90,128,0.18
14,2,2010/10/27,CL202PE,Largo%20S.%20Maria%20del%20Pianto,40.8696045,14.2849185,130,158,0.06
14,3,2010/10/27,CL202PE,Via%20S.%20Maria%20del%20Pianto,40.8723738,14.2953658,130,155,1.13
14,4,2010/10/27,CL202PE,,40.8684675,14.2961095,130,156,0.85
14,5,2010/10/27,CL202PE,Via%20Nuova%20Poggioreale,40.8639302,14.2852533,90,126,1.05
14,6,2010/10/27,CL202PE,Via%20Vicinale%20S.%20Maria%20del%20Pianto,40.8644722,14.2866539,50,82,0.15
0,0,2015/06/02,CJ202RO,Via%20Aurelia%2C%20677%2C%2000165%20Roma%2C%20Italy,41.8932929,12.4150796,50,13,0
0,1,2015/06/02,CJ202RO,Strada%20Statale%201%20Variante%20Aurelia%20di%20La%20Spezia,41.8909544,12.4129374,50,68,0.32
0,2,2015/06/02,CJ202RO,Via%20Nicola%20Coviello,41.8930597,12.4117643,50,69,0.33
0,3,2015/06/02,CJ202RO,Via%20Michele%20Pironti,41.8935098,12.4112821,90,104,0.06
0,4,2015/06/02,CJ202RO,Via%20Gregorio%20XI,41.8939199,12.4120679,50,80,0.08
0,5,2015/06/02,CJ202RO,,41.8936605,12.4112169,50,72,0.09
0,6,2015/06/02,CJ202RO,Via%20Luca%20Passi,41.8963178,12.409906,90,112,0.45
0,7,2015/06/02,CJ202RO,Via%20Raffaele%20Conforti,41.8966032,12.4096823,50,72,0.04
0,8,2015/06/02,CJ202RO,Via%20di%20Val%20Cannuta,41.899416,12.4137674,90,120,0.46
0,9,2015/06/02,CJ202RO,Via%20della%20Divina%20Provvidenza,41.9007494,12.4101131,130,162,0.34
0,10,2015/06/02,CJ202RO,Via%20Monte%20Carmelo,41.9016651,12.410039,90,100,0.12
0,11,2015/06/02,CJ202RO,Via%20Rivarone,41.900947,12.4136784,90,122,0.31
0,12,2015/06/02,CJ202RO,Via%20Bra,41.901783,12.4134697,50,85,0.1
0,13,2015/06/02,CJ202RO,,41.9019283,12.4134216,50,88,0.02
1,0,2015/06/04,CJ202RO,Circonvallazione%20Cornelia%2C%2013%2C%2000165%20Roma%2C%20Italy,41.899401,12.4269844,50,10,0
1,1,2015/06/04,CJ202RO,Via%20Accursio,41.8985929,12.4274542,90,100,0.1
1,2,2015/06/04,CJ202RO,,41.8968997,12.4283172,90,120,0.2
1,3,2015/06/04,CJ202RO,,41.898413,12.4278147,90,104,0.21
1,4,2015/06/04,CJ202RO,,41.9014133,12.4259764,90,103,0.37
1,5,2015/06/04,CJ202RO,Via%20di%20Boccea,41.9015045,12.4266889,90,100,0.09
1,6,2015/06/04,CJ202RO,Via%20di%20Boccea,41.9016242,12.4269332,90,116,0.02
1,7,2015/06/04,CJ202RO,Via%20Domenico%20Tardini,41.9019571,12.426646,50,60,0.04
1,8,2015/06/04,CJ202RO,Via%20S.%20Bernadette,41.9022659,12.4275406,50,79,0.08
2,0,2015/06/01,CJ202RO,Via%20Martino%20V%2C%2028%2C%2000167%20Roma%2C%20Italy,41.9054269,12.4217443,50,16,0
2,1,2015/06/01,CJ202RO,Via%20del%20Forte%20Boccea,41.9057317,12.4211672,90,122,0.06
2,2,2015/06/01,CJ202RO,Via%20del%20Forte%20Boccea,41.9075009,12.4254018,130,147,0.44
2,3,2015/06/01,CJ202RO,Via%20della%20Pineta%20Sacchetti,41.9056298,12.4253252,90,129,0.21
2,4,2015/06/01,CJ202RO,Circonvallazione%20Cornelia,41.9023589,12.4254097,90,119,0.38
2,5,2015/06/01,CJ202RO,Via%20di%20Boccea,41.9015045,12.4266889,130,159,0.15
2,6,2015/06/01,CJ202RO,Via%20di%20Boccea,41.9016242,12.4269332,130,168,0.02
2,7,2015/06/01,CJ202RO,Via%20Domenico%20Tardini,41.9019571,12.426646,90,105,0.04
2,8,2015/06/01,CJ202RO,Via%20S.%20Bernadette,41.9022659,12.4275406,50,60,0.08
3,0,2015/06/01,CJ202RO,Via%20Luca%20Passi%2C%206%2C%2000166%20Roma%2C%20Italy,41.8965675,12.4103114,50,34,0
3,1,2015/06/01,CJ202RO,Via%20Raffaele%20Conforti,41.8963178,12.409906,50,78,0.04
3,2,2015/06/01,CJ202RO,Via%20Raffaele%20Conforti,41.8966032,12.4096823,50,84,0.04
3,3,2015/06/01,CJ202RO,Via%20di%20Val%20Cannuta,41.9035205,12.4163809,50,60,1.01
3,4,2015/06/01,CJ202RO,Via%20di%20Boccea,41.9015045,12.4266889,50,80,0.9
3,5,2015/06/01,CJ202RO,Via%20di%20Boccea,41.9016242,12.4269332,90,121,0.02
3,6,2015/06/01,CJ202RO,Via%20Domenico%20Tardini,41.9019571,12.426646,50,62,0.04
3,7,2015/06/01,CJ202RO,Via%20S.%20Bernadette,41.9022659,12.4275406,50,80,0.08
4,0,2015/06/06,CJ202RO,Via%20Gregorio%20XIII%2C%2014%2C%2000167%20Roma%2C%20Italy,41.9046896,12.4188106,50,6,0
4,1,2015/06/06,CJ202RO,Largo%20Gregorio%20XIII,41.9039839,12.4185716,90,112,0.1
4,2,2015/06/06,CJ202RO,Largo%20Gregorio%20XIII,41.9036193,12.4185299,90,115,0.04
4,3,2015/06/06,CJ202RO,Via%20di%20Boccea,41.9051337,12.4090324,90,125,0.89
4,4,2015/06/06,CJ202RO,,41.9037653,12.410467,130,143,0.22
4,5,2015/06/06,CJ202RO,Via%20Soriso,41.9029731,12.4094623,130,159,0.12
4,6,2015/06/06,CJ202RO,Via%20Peveragno,41.9018589,12.41333,90,124,0.35
4,7,2015/06/06,CJ202RO,Via%20Bra,41.9021268,12.4133538,50,81,0.06
5,0,2015/06/04,CJ202RO,Via%20Gregorio%20XI%2C%2011%2C%2000166%20Roma%2C%20Italy,41.9026634,12.4215475,50,26,0
5,1,2015/06/04,CJ202RO,Via%20di%20Boccea,41.9031303,12.4219158,50,74,0.06
5,2,2015/06/04,CJ202RO,Via%20di%20Boccea,41.9035976,12.4180697,50,73,0.33
6,0,2015/06/07,CJ202RO,Via%20di%20Val%20Cannuta%2C%20134%2C%2000166%20Roma%2C%20Italy,41.8986959,12.4127271,50,44,0
6,1,2015/06/07,CJ202RO,Via%20Enrico%20De%20Oss%C3%B2,41.900099,12.4147258,50,73,0.23
6,2,2015/06/07,CJ202RO,Via%20Giorgio%20del%20Vecchio,41.8979161,12.4175039,90,111,0.33
6,3,2015/06/07,CJ202RO,Via%20Gregorio%20XI,41.8965267,12.416062,50,85,0.2
6,4,2015/06/07,CJ202RO,,41.8995997,12.4191351,50,65,0.45
6,5,2015/06/07,CJ202RO,Via%20Fulvio%20Maroi,41.9002362,12.4161799,50,66,0.29
1,0,2009/10/13,DN318EU,Via%20Alessio%20Mazzocchi%2C%2027%2C%2080141%20Napoli%2C%20Italy,40.863056,14.2687968,50,32,0
1,1,2009/10/13,DN318EU,Via%20S.%20Attanasio,40.8631032,14.2698766,90,123,0.09
1,2,2009/10/13,DN318EU,,40.8633886,14.2756096,50,66,0.49
1,3,2009/10/13,DN318EU,Corso%20Malta,40.8596562,14.2762522,50,77,0.42
1,4,2009/10/13,DN318EU,Via%20Nuova%20Poggioreale,40.8632402,14.2761927,90,115,0.46
1,5,2009/10/13,DN318EU,Corso%20Malta,40.8654201,14.2757761,50,72,0.24
1,6,2009/10/13,DN318EU,Via%20Piazzolla,40.8650446,14.273506,50,82,0.2
2,0,2009/10/15,DN318EU,Centro%20Direzionale%2C%2080143%20Napoli%2C%20Italy,40.858327,14.2812905,50,9,0
2,1,2009/10/15,DN318EU,Viale%20della%20Costituzione,40.8570472,14.2808309,50,76,0.17
2,2,2009/10/15,DN318EU,Viale%20della%20Costituzione,40.8567085,14.2773034,50,66,0.3
2,3,2009/10/15,DN318EU,Viale%20della%20Costituzione,40.856827,14.2770232,90,121,0.03
2,4,2009/10/15,DN318EU,,40.8597069,14.2764961,130,155,0.33
2,5,2009/10/15,DN318EU,,40.8632402,14.2761927,90,108,0.4
2,6,2009/10/15,DN318EU,Corso%20Malta,40.8654201,14.2757761,130,156,0.24
2,7,2009/10/15,DN318EU,Via%20Piazzolla,40.8650172,14.2732752,130,143,0.22
2,8,2009/10/15,DN318EU,Via%20Generale%20Pianell,40.8640404,14.2734472,130,154,0.11
2,9,2009/10/15,DN318EU,Via%20Marchese%20Giuseppe%20Palmieri,40.8636872,14.2697986,130,157,0.31
2,10,2009/10/15,DN318EU,Via%20Arenaccia,40.8647277,14.269508,90,113,0.12
2,11,2009/10/15,DN318EU,Rampa%20del%20Campo,40.8647866,14.2697525,50,61,0.02
2,12,2009/10/15,DN318EU,Rampa%20del%20Campo,40.8653593,14.27037,90,124,0.09
2,13,2009/10/15,DN318EU,Rampa%20del%20Campo,40.8651288,14.2696685,50,72,0.07
2,14,2009/10/15,DN318EU,Via%20Nuova%20del%20Campo,40.8692264,14.2773769,50,62,0.86
3,0,2009/10/18,DN318EU,Via%20Nuova%20del%20Campo%2C%2063A%2C%2080141%20Napoli%2C%20Italy,40.8692264,14.2773769,50,49,0
3,1,2009/10/18,DN318EU,Via%20Vincenzo%20de%20Giaxa,40.8693653,14.2843393,50,82,0.82
3,2,2009/10/18,DN318EU,Largo%20S.%20Maria%20del%20Pianto,40.8696045,14.2849185,90,123,0.06
